,Name ,Comment ,comments,Time ,text_token,text_string
274,// A r n a h u n a s //,Sony owns Bungie while Microsoft owns Crash and Spyro. What a time to be alive.,sony owns bungie while microsoft owns crash and spyro. what a time to be alive.,2022-09-14T00:19:02Z,"['sony', 'owns', 'bungie', 'microsoft', 'owns', 'crash', 'spyro', 'time', 'alive']",sony owns bungie microsoft owns crash spyro time alive
275,Billy Hardin,"The in depth episodes are always some of my favorites you put out. I feel way more informed, and full of smiles after stuff like this so thank you and keep being awesome Scott!","the in depth episodes are always some of my favorites you put out. i feel way more informed, and full of smiles after stuff like this so thank you and keep being awesome scott!",2022-09-14T02:28:46Z,"['depth', 'episodes', 'always', 'favorites', 'put', 'feel', 'way', 'informed', 'full', 'smiles', 'stuff', 'like', 'thank', 'keep', 'awesome', 'scott']",depth episodes always favorites put feel way informed full smiles stuff like thank keep awesome scott
276,Cap,Exclusives are a good thing. They keep the companies in competition and that breeds/forces more innovative or consumer friendly practices. They have to do those things because they need to give you a reason to buy their console over the other. Nintendo IPs like Zelda PS iPs like god of war make you buy those consoles so they have an interest in making those games as good as possible.,exclusives are a good thing. they keep the companies in competition and that breeds/forces more innovative or consumer friendly practices. they have to do those things because they need to give you a reason to buy their console over the other. nintendo ips like zelda ps ips like god of war make you buy those consoles so they have an interest in making those games as good as possible.,2022-09-15T08:37:27Z,"['exclusives', 'good', 'thing', 'keep', 'companies', 'competition', 'breeds', 'forces', 'innovative', 'consumer', 'friendly', 'practices', 'things', 'need', 'give', 'reason', 'buy', 'console', 'nintendo', 'ips', 'like', 'zelda', 'ps', 'ips', 'like', 'god', 'war', 'make', 'buy', 'consoles', 'interest', 'making', 'games', 'good', 'possible']",exclusives good thing keep companies competition breeds forces innovative consumer friendly practices things need give reason buy console nintendo ips like zelda ips like god war make buy consoles interest making games good possible
277,Matt Lane,"I remember people being mad about Kingdom Hearts going over to Xbox but for me, as a fan, I was happy. Because I think it’s a great way to let other people try a game you grew up with.","i remember people being mad about kingdom hearts going over to xbox but for me, as a fan, i was happy. because i think it’s a great way to let other people try a game you grew up with.",2022-09-14T04:09:06Z,"['remember', 'people', 'mad', 'kingdom', 'hearts', 'going', 'xbox', 'fan', 'happy', 'think', 'great', 'way', 'let', 'people', 'try', 'game', 'grew']",remember people mad kingdom hearts going xbox fan happy think great way let people try game grew
278,bobby williams,"Hello, it is ME, bobby WILLIAMS. With the night closing in, I must confess that this video brings warmth not even a fire could match. Thank you, Scott, for blessing us with a safety blanket in this world of harm and danger. Your facial is looking good! I've always dug the glasses, so keep that up. Have you ever considered making a Speed Racer-focused video? Perhaps on the Wii game??? I think it would make for a splendid time, especially if you watch the movie. Have you seen Cars On the Road? It's a new Disney+ series starring Lightning McQueen and Mater, and focuses on their cross-country travels. I've only seen the first four episodes, but they're, as Mater would, some ""humdingers."" They're episodic, too, so you can enjoy a nice bowl of cereal with an episode, then go about your Wozniak day.

Thanks for your help and time.

Best regards,

Bobby Williams","hello, it is me, bobby williams. with the night closing in, i must confess that this video brings warmth not even a fire could match. thank you, scott, for blessing us with a safety blanket in this world of harm and danger. your facial is looking good! i've always dug the glasses, so keep that up. have you ever considered making a speed racer-focused video? perhaps on the wii game??? i think it would make for a splendid time, especially if you watch the movie. have you seen cars on the road? it's a new disney+ series starring lightning mcqueen and mater, and focuses on their cross-country travels. i've only seen the first four episodes, but they're, as mater would, some ""humdingers."" they're episodic, too, so you can enjoy a nice bowl of cereal with an episode, then go about your wozniak day.

thanks for your help and time.

best regards,

bobby williams",2022-09-14T03:13:43Z,"['hello', 'bobby', 'williams', 'night', 'closing', 'must', 'confess', 'video', 'brings', 'warmth', 'even', 'fire', 'could', 'match', 'thank', 'scott', 'blessing', 'us', 'safety', 'blanket', 'world', 'harm', 'danger', 'facial', 'looking', 'good', 'always', 'dug', 'glasses', 'keep', 'ever', 'considered', 'making', 'speed', 'racer', 'focused', 'video', 'perhaps', 'wii', 'game', 'think', 'would', 'make', 'splendid', 'time', 'especially', 'watch', 'movie', 'seen', 'cars', 'road', 'new', 'disney', 'series', 'starring', 'lightning', 'mcqueen', 'mater', 'focuses', 'cross', 'country', 'travels', 'seen', 'first', 'four', 'episodes', 'mater', 'would', 'humdingers', 'episodic', 'enjoy', 'nice', 'bowl', 'cereal', 'episode', 'go', 'wozniak', 'day', 'thanks', 'help', 'time', 'best', 'regards', 'bobby', 'williams']",hello bobby williams night closing must confess video brings warmth even fire could match thank scott blessing safety blanket world harm danger facial looking good always dug glasses keep ever considered making speed racer focused video perhaps wii game think would make splendid time especially watch movie seen cars road new disney series starring lightning mcqueen mater focuses cross country travels seen first four episodes mater would humdingers episodic enjoy nice bowl cereal episode wozniak day thanks help time best regards bobby williams
279,BuTTersChUnK McDonald's,"Yeah I’ll never forget that time when the court began tilting towards a 45 degree angle, Warping time and space & stuff. Legendary game.","yeah i’ll never forget that time when the court began tilting towards a 45 degree angle, warping time and space & stuff. legendary game.",2022-09-14T02:26:58Z,"['yeah', 'never', 'forget', 'time', 'court', 'began', 'tilting', 'towards', '45', 'degree', 'angle', 'warping', 'time', 'space', 'stuff', 'legendary', 'game']",yeah never forget time court began tilting towards degree angle warping time space stuff legendary game
280,TheSuperGuitarGuy,My favourite part was when the court tilted up at a 45 degree angle and underneath the wood was just bare rock.,my favourite part was when the court tilted up at a 45 degree angle and underneath the wood was just bare rock.,2022-09-14T02:02:31Z,"['favourite', 'part', 'court', 'tilted', '45', 'degree', 'angle', 'underneath', 'wood', 'bare', 'rock']",favourite part court tilted degree angle underneath wood bare rock
281,Edge Transit,"Ah yes, I remember that day when the entire court became slant from an earthquake. But how does that affect Lebrons legacy?","ah yes, i remember that day when the entire court became slant from an earthquake. but how does that affect lebrons legacy?",2022-09-14T01:00:41Z,"['ah', 'yes', 'remember', 'day', 'entire', 'court', 'became', 'slant', 'earthquake', 'affect', 'lebrons', 'legacy']",yes remember day entire court became slant earthquake affect lebrons legacy
282,Lucy Reed,My favorite crazy moment was when the Raptors were down 103-101 in Game 3 against the Celtics during the 2019-2020 season and Kyle Lowry threw a huge pass over Tacko Fall to OG Anunoby with 0.5 seconds left and OG made the three to win the game by one point,my favorite crazy moment was when the raptors were down 103-101 in game 3 against the celtics during the 2019-2020 season and kyle lowry threw a huge pass over tacko fall to og anunoby with 0.5 seconds left and og made the three to win the game by one point,2022-09-14T02:04:10Z,"['favorite', 'crazy', 'moment', 'raptors', '103', '101', 'game', '3', 'celtics', '2019', '2020', 'season', 'kyle', 'lowry', 'threw', 'huge', 'pass', 'tacko', 'fall', 'og', 'anunoby', '0', '5', 'seconds', 'left', 'og', 'made', 'three', 'win', 'game', 'one', 'point']",favorite crazy moment raptors 103 101 game celtics 2019 2020 season kyle lowry threw huge pass tacko fall anunoby seconds left made three win game one point
283,Adit Bhatia,It's crazy the work Rebound puts in. Its crazy he deserves the love.,it's crazy the work rebound puts in. its crazy he deserves the love.,2022-09-14T00:27:13Z,"['crazy', 'work', 'rebound', 'puts', 'crazy', 'deserves', 'love']",crazy work rebound puts crazy deserves love
